player_sk,player_id,player_name,dob,batting_hand,bowling_skill,country_name,dob_cleaned
0,1,Sc Ganguly,,Left-hand Bat,Right-arm Medium,India,
1,2,Bb Mccullum,,Right-hand Bat,Right-arm Medium,New Zealand,
2,3,Rt Ponting,,Right-hand Bat,Right-arm Medium,Australia,
3,4,Dj Hussey,,Right-hand Bat,Right-arm Offbreak,Australia,
4,5,Mohammad Hafeez,,Right-hand Bat,Right-arm Offbreak,Pakistan,
5,6,R Dravid,,Right-hand Bat,Right-arm Offbreak,India,
6,7,W Jaffer,,Right-hand Bat,Right-arm Offbreak,India,
7,8,V Kohli,,Right-hand Bat,Right-arm Medium,India,
8,9,Jh Kallis,,Right-hand Bat,Right-arm Fast-medium,South Africa,
9,10,Cl White,,Right-hand Bat,Legbreak Googly,Australia,
10,11,Mv Boucher,,Right-hand Bat,Right-arm Medium,South Africa,
11,12,B Akhil,,Right-hand Bat,Right-arm Medium-fast,India,
12,13,Aa Noffke,,Right-hand Bat,Right-arm Fast-medium,Australia,
13,14,P Kumar,,Right-hand Bat,Right-arm Medium,India,
14,15,Z Khan,,Right-hand Bat,Left-arm Fast-medium,India,
15,16,Sb Joshi,,Left-hand Bat,Slow Left-arm Orthodox,India,
16,17,Pa Patel,,Left-hand Bat,N/a,India,
17,18,Ml Hayden,,Left-hand Bat,Right-arm Medium,Australia,
18,19,Mek Hussey,,Left-hand Bat,Right-arm Medium,Australia,
19,20,Ms Dhoni,,Right-hand Bat,Right-arm Medium,India,
20,21,Sk Raina,,Left-hand Bat,Right-arm Offbreak,India,
21,22,Jdp Oram,,Left-hand Bat,Right-arm Fast-medium,New Zealand,
22,23,S Badrinath,,Right-hand Bat,Right-arm Offbreak,India,
23,24,K Goel,,Left-hand Bat,Right-arm Offbreak,India,
24,25,Jr Hopes,,Right-hand Bat,Right-arm Medium,Australia,
25,26,Kc Sangakkara,,Left-hand Bat,Right-arm Offbreak,Sri Lanka,
26,27,Yuvraj Singh,,Left-hand Bat,Slow Left-arm Orthodox,India,
27,28,Sm Katich,,Left-hand Bat,Slow Left-arm Chinaman,Australia,
28,29,Ik Pathan,,Left-hand Bat,Left-arm Medium-fast,India,
29,30,T Kohli,,Right-hand Bat,Right-arm Medium,India,
30,31,Yk Pathan,,Right-hand Bat,Right-arm Offbreak,India,
31,32,Sr Watson,,Right-hand Bat,Right-arm Fast-medium,Australia,
32,33,M Kaif,,Right-hand Bat,Right-arm Offbreak,India,
33,34,Ds Lehmann,,Left-hand Bat,Slow Left-arm Orthodox,Australia,
34,35,Ra Jadeja,,Left-hand Bat,Slow Left-arm Orthodox,India,
35,36,M Rawat,,Right-hand Bat,N/a,India,
36,37,D Salunkhe,,Right-hand Bat,Legbreak,India,
37,38,Sk Warne,,Right-hand Bat,Legbreak Googly,Australia,
38,39,Sk Trivedi,,Right-hand Bat,Right-arm Medium,India,
39,40,G Gambhir,,Left-hand Bat,Legbreak,India,
40,41,V Sehwag,,Right-hand Bat,Right-arm Offbreak,India,
41,42,S Dhawan,,Left-hand Bat,Right-arm Offbreak,India,
42,43,L Ronchi,,Right-hand Bat,N/a,Australia,
43,44,St Jayasuriya,,Left-hand Bat,Slow Left-arm Orthodox,Sri Lanka,
44,45,Dj Thornely,,Right-hand Bat,Right-arm Medium,Australia,
45,46,Rv Uthappa,,Right-hand Bat,Right-arm Medium,India,
46,47,Pr Shah,,Right-hand Bat,N/a,India,
47,48,Am Nayar,,Left-hand Bat,Right-arm Medium,India,
48,49,Sm Pollock,,Right-hand Bat,Right-arm Fast-medium,South Africa,
49,50,Harbhajan Singh,,Right-hand Bat,Right-arm Offbreak,India,
50,51,S Chanderpaul,,Left-hand Bat,Legbreak,West Indies,
51,52,Lrpl Taylor,,Right-hand Bat,Right-arm Offbreak,New Zealand,
52,53,Ac Gilchrist,,Left-hand Bat,Right-arm Offbreak,Australia,
53,54,Y Venugopal Rao,,Right-hand Bat,Right-arm Offbreak,India,
54,55,Vvs Laxman,,Right-hand Bat,Right-arm Offbreak,India,
55,56,A Symonds,,Right-hand Bat,Right-arm Offbreak,Australia,
56,57,Rg Sharma,,Right-hand Bat,Right-arm Offbreak,India,
57,58,Sb Styris,,Right-hand Bat,Right-arm Medium,New Zealand,
58,59,Sb Bangar,,Right-hand Bat,Right-arm Medium-fast,India,
59,60,Wpujc Vaas,,Left-hand Bat,Left-arm Fast-medium,Sri Lanka,
60,61,Rp Singh,,Right-hand Bat,Left-arm Fast-medium,India,
61,62,Wp Saha,,Right-hand Bat,N/a,India,
62,63,Lr Shukla,,Right-hand Bat,Right-arm Medium,India,
63,64,Dpmd Jayawardene,,Right-hand Bat,Right-arm Medium,Sri Lanka,
64,65,S Sohal,,Right-hand Bat,Legbreak,India,
65,66,B Lee,,Right-hand Bat,Right-arm Fast,Australia,
66,67,Pp Chawla,,Left-hand Bat,Legbreak,India,
67,68,Wa Mota,,Right-hand Bat,Right-arm Medium,India,
68,69,Kamran Akmal,,Right-hand Bat,N/a,Pakistan,
69,70,Shahid Afridi,,Right-hand Bat,Legbreak Googly,Pakistan,
70,71,Dj Bravo,,Right-hand Bat,Right-arm Medium-fast,West Indies,
71,72,Ma Khote,,Right-hand Bat,Right-arm Medium,India,
72,73,A Nehra,,Right-hand Bat,Left-arm Medium-fast,India,
73,74,Gc Smith,,Left-hand Bat,Right-arm Offbreak,South Africa,
74,75,Pankaj Singh,,Right-hand Bat,Right-arm Medium-fast,India,
75,76,Rr Sarwan,,Right-hand Bat,Legbreak,West Indies,
76,77,S Sreesanth,,Right-hand Bat,Right-arm Fast-medium,India,
77,78,Vrv Singh,,Right-hand Bat,Right-arm Medium-fast,India,
78,79,Ss Tiwary,,Left-hand Bat,N/a,India,
79,80,Ds Kulkarni,,Right-hand Bat,Right-arm Medium,India,
80,81,R Vinay Kumar,,Right-hand Bat,Right-arm Medium,India,
81,82,Ab Agarkar,,Right-hand Bat,Right-arm Fast,India,
82,83,M Kartik,,Left-hand Bat,Slow Left-arm Orthodox,India,
83,84,I Sharma,,Right-hand Bat,Right-arm Fast-medium,India,
84,85,Am Rahane,,Right-hand Bat,Right-arm Medium,India,
85,86,Shoaib Malik,,Right-hand Bat,Right-arm Offbreak,Pakistan,
86,87,Mk Tiwary,,Right-hand Bat,Legbreak Googly,India,
87,88,Kd Karthik,,Right-hand Bat,N/a,India,
88,89,R Bhatia,,Right-hand Bat,Right-arm Medium-fast,India,
89,90,Mf Maharoof,,Right-hand Bat,Right-arm Fast-medium,India,
90,91,Vy Mahesh,,Right-hand Bat,Right-arm Medium-fast,India,
91,92,Tm Srivastava,,Left-hand Bat,Right-arm Medium,India,
92,93,B Chipli,,Right-hand Bat,Right-arm Medium,India,
93,94,Dw Steyn,,Right-hand Bat,Right-arm Fast,South Africa,
94,95,Db Das,,Right-hand Bat,Legbreak Googly,India,
95,96,Mk Pandey,,Right-hand Bat,Right-arm Medium,India,
96,97,Hh Gibbs,,Right-hand Bat,Right-arm Bowler,South Africa,
97,98,Dnt Zoysa,,Left-hand Bat,Left-arm Fast-medium,Sri Lanka,
98,99,D Kalyankrishna,,Right-hand Bat,Right-arm Medium-fast,India,
99,100,Se Marsh,,Left-hand Bat,Slow Left-arm Orthodox,Australia,
100,101,Sa Asnodkar,,Right-hand Bat,Right-arm Offbreak,India,
101,102,Sohail Tanvir,,Left-hand Bat,Left-arm Medium-fast,Pakistan,
102,103,Salman Butt,,Left-hand Bat,Right-arm Offbreak,Pakistan,
103,104,Bj Hodge,,Right-hand Bat,Right-arm Offbreak,Australia,
104,105,Umar Gul,,Right-hand Bat,Right-arm Fast-medium,Pakistan,
105,106,Ab Dinda,,Right-hand Bat,Right-arm Medium-fast,India,
106,107,Sp Fleming,,Left-hand Bat,N/a,New Zealand,
107,108,S Vidyut,,Left-hand Bat,Slow Left-arm Orthodox,India,
108,109,Ja Morkel,,Left-hand Bat,Right-arm Medium-fast,South Africa,
109,110,Ab De Villiers,,Right-hand Bat,Right-arm Medium,South Africa,
110,111,Lpc Silva,,Right-hand Bat,Legbreak,Sri Lanka,
111,112,Db Ravi Teja,,Right-hand Bat,Legbreak Googly,India,
112,113,Misbah-ul-haq,,Right-hand Bat,Legbreak,Pakistan,
113,114,Yv Takawale,,Right-hand Bat,N/a,India,
114,115,Rr Raje,,Right-hand Bat,Right-arm Fast-medium,India,
115,116,Pj Sangwan,,Right-hand Bat,Left-arm Medium,India,
116,117,Mohammad Asif,,Left-hand Bat,Right-arm Fast-medium,Pakistan,
117,118,Gd Mcgrath,,Right-hand Bat,Right-arm Fast-medium,Australia,
118,119,Joginder Sharma,,Right-hand Bat,Right-arm Fast-medium,India,
119,120,Ms Gony,,Right-hand Bat,Right-arm Medium,India,
120,121,M Muralitharan,,Right-hand Bat,Right-arm Offbreak,Sri Lanka,
121,122,M Ntini,,Right-hand Bat,Right-arm Fast,South Africa,
122,123,Dt Patil,,Right-hand Bat,N/a,India,
123,124,A Kumble,,Right-hand Bat,Legbreak Googly,India,
124,125,S Anirudha,,Right-hand Bat,N/a,India,
125,126,Mm Patel,,Right-hand Bat,Right-arm Medium-fast,India,
126,127,Ck Kapugedera,,Right-hand Bat,Right-arm Medium,Sri Lanka,
127,128,A Chopra,,Right-hand Bat,Right-arm Offbreak,India,
128,129,T Taibu,,Right-hand Bat,Right-arm Medium,Zimbabwea,
129,130,J Arunkumar,,Right-hand Bat,Right-arm Offbreak,India,
130,131,Pp Ojha,,Left-hand Bat,Slow Left-arm Orthodox,India,
131,132,Sp Goswami,,Left-hand Bat,N/a,India,
132,133,Sr Tendulkar,,Right-hand Bat,Right-arm Offbreak,India,
133,134,U Kaul,,Left-hand Bat,N/a,India,
134,135,Tm Dilshan,,Right-hand Bat,Right-arm Offbreak,Sri Lanka,
